method,item,compareItem,score,compareResult
TM_CCOEFF_NORMED,empty123,empty,49.49951934814453,pass
TM_CCOEFF_NORMED,empty124,empty,47.58876419067383,pass
TM_CCOEFF_NORMED,grass2,bush,48.2907829284668,false
TM_CCOEFF_NORMED,grass3,hut,48.38447189331055,false
TM_CCOEFF_NORMED,grass4,grass,66.11546325683594,pass
TM_CCOEFF_NORMED,grass5,grass,69.16635131835938,pass
TM_CCOEFF_NORMED,grass6,grass,74.23361206054688,pass
TM_CCOEFF_NORMED,grass7,grass,55.396728515625,pass
TM_CCOEFF_NORMED,grass8,grass,72.71964263916016,pass
TM_CCOEFF_NORMED,grass9,grass,72.98764038085938,pass
TM_CCOEFF_NORMED,grass10,grass,72.44325256347656,pass
TM_CCOEFF_NORMED,grass11,grass,71.64762878417969,pass
TM_CCOEFF_NORMED,grass12,grass,63.093441009521484,pass
TM_CCOEFF_NORMED,grass13,grass,64.11468505859375,pass
TM_CCOEFF_NORMED,grass14,grass,74.38642120361328,pass
TM_CCOEFF_NORMED,grass15,grass,42.40562438964844,pass
TM_CCOEFF_NORMED,grass16,grass,74.54314422607422,pass
TM_CCOEFF_NORMED,grass17,grass,74.17791748046875,pass
TM_CCOEFF_NORMED,grass18,grass,74.26924896240234,pass
TM_CCOEFF_NORMED,grass19,grass,54.40892028808594,pass
TM_CCOEFF_NORMED,grass20,grass,55.221221923828125,pass
TM_CCOEFF_NORMED,grass21,grass,74.06002044677734,pass
TM_CCOEFF_NORMED,grass22,grass,74.02420043945312,pass
TM_CCOEFF_NORMED,grass23,grass,42.11974334716797,pass
TM_CCOEFF_NORMED,grass24,grass,73.49540710449219,pass
TM_CCOEFF_NORMED,grass25,grass,73.47563934326172,pass
TM_CCOEFF_NORMED,grass26,grass,73.66789245605469,pass
TM_CCOEFF_NORMED,grass27,grass,72.7879867553711,pass
TM_CCOEFF_NORMED,grass28,grass,67.71173858642578,pass
TM_CCOEFF_NORMED,grass29,grass,66.96014404296875,pass
TM_CCOEFF_NORMED,grass30,grass,72.45112609863281,pass
TM_CCOEFF_NORMED,grass31,grass,67.83383178710938,pass
TM_CCOEFF_NORMED,grass32,grass,68.35491943359375,pass
TM_CCOEFF_NORMED,grass33,grass,71.64762878417969,pass
TM_CCOEFF_NORMED,grass34,grass,73.84512329101562,pass
TM_CCOEFF_NORMED,grass35,grass,74.38642120361328,pass
TM_CCOEFF_NORMED,grass36,grass,74.23361206054688,pass
TM_CCOEFF_NORMED,grass37,grass,42.40562438964844,pass
TM_CCOEFF_NORMED,grass38,grass,74.54314422607422,pass
TM_CCOEFF_NORMED,grass39,grass,74.26924896240234,pass
TM_CCOEFF_NORMED,grass40,grass,55.221221923828125,pass
TM_CCOEFF_NORMED,grass41,grass,48.38447189331055,pass
TM_CCOEFF_NORMED,grass42,grass,71.64762878417969,pass
TM_CCOEFF_NORMED,grass43,grass,72.44325256347656,pass
TM_CCOEFF_NORMED,grass44,grass,72.43556213378906,pass
TM_CCOEFF_NORMED,grass45,grass,74.17791748046875,pass
TM_CCOEFF_NORMED,grass46,grass,48.2907829284668,pass
TM_CCOEFF_NORMED,grass47,grass,68.35491943359375,pass
TM_CCOEFF_NORMED,grass48,grass,68.35491943359375,pass
TM_CCOEFF_NORMED,grass49,grass,67.83383178710938,pass
TM_CCOEFF_NORMED,grass50,grass,67.71173858642578,pass
TM_CCOEFF_NORMED,grass51,grass,64.11468505859375,pass
TM_CCOEFF_NORMED,grass52,grass,67.71173858642578,pass
TM_CCOEFF_NORMED,grass53,grass,60.09463119506836,pass
TM_CCOEFF_NORMED,grass54,grass,74.06002044677734,pass
TM_CCOEFF_NORMED,grass55,grass,74.17791748046875,pass
TM_CCOEFF_NORMED,grass56,grass,74.20541381835938,pass
TM_CCOEFF_NORMED,grass57,grass,72.44325256347656,pass
TM_CCOEFF_NORMED,grass58,grass,48.10784149169922,pass
TM_CCOEFF_NORMED,grass59,grass,48.10784149169922,pass
TM_CCOEFF_NORMED,grass60,grass,47.39106369018555,pass
TM_CCOEFF_NORMED,bush2,bush,71.47431945800781,pass
TM_CCOEFF_NORMED,bush3,bush,71.47431945800781,pass
TM_CCOEFF_NORMED,bush4,bush,71.4522705078125,pass
TM_CCOEFF_NORMED,bush5,bush,71.38288116455078,pass
TM_CCOEFF_NORMED,bush6,bush,43.73860168457031,pass
TM_CCOEFF_NORMED,bush7,bush,69.4018783569336,pass
TM_CCOEFF_NORMED,bush8,bush,62.26716613769531,pass
TM_CCOEFF_NORMED,bush9,bush,69.59477996826172,pass
TM_CCOEFF_NORMED,bush10,bush,67.80655670166016,pass
TM_CCOEFF_NORMED,bush11,bush,67.32512664794922,pass
TM_CCOEFF_NORMED,bush12,bush,69.4018783569336,pass
TM_CCOEFF_NORMED,bush13,bush,67.81407165527344,pass
TM_CCOEFF_NORMED,bush14,bush,70.83722686767578,pass
TM_CCOEFF_NORMED,bush15,bush,71.38288116455078,pass
TM_CCOEFF_NORMED,bush16,bush,47.59185028076172,pass
TM_CCOEFF_NORMED,bush17,bush,47.575130462646484,pass
TM_CCOEFF_NORMED,bush18,bush,62.3288459777832,pass
TM_CCOEFF_NORMED,bush19,bush,48.53312683105469,pass
TM_CCOEFF_NORMED,bush20,bush,67.80655670166016,pass
TM_CCOEFF_NORMED,bush21,bush,77.95831298828125,pass
TM_CCOEFF_NORMED,bush22,bush,71.47431945800781,pass
TM_CCOEFF_NORMED,bush23,bush,47.59185028076172,pass
TM_CCOEFF_NORMED,bush24,bush,71.4522705078125,pass
TM_CCOEFF_NORMED,bush25,bush,47.575130462646484,pass
