method,item1,item2,score
TM_CCOEFF_NORMED,empty,grass,55.41751480102539
TM_CCOEFF_NORMED,empty,grass,53.33423614501953
TM_CCOEFF_NORMED,empty,grass,58.02653503417969
TM_CCOEFF_NORMED,empty,grass,60.7391357421875
TM_CCOEFF_NORMED,empty,grass,64.2674789428711
TM_CCOEFF_NORMED,empty,grass,51.33205795288086
TM_CCOEFF_NORMED,empty,grass,63.96889114379883
TM_CCOEFF_NORMED,empty,grass,62.7629508972168
TM_CCOEFF_NORMED,empty,grass,62.303184509277344
TM_CCOEFF_NORMED,empty,grass,61.68928909301758
TM_CCOEFF_NORMED,empty,grass,56.769351959228516
TM_CCOEFF_NORMED,empty,grass,58.25677490234375
TM_CCOEFF_NORMED,empty,grass,63.994712829589844
TM_CCOEFF_NORMED,empty,grass,41.69038391113281
TM_CCOEFF_NORMED,empty,grass,62.89384841918945
TM_CCOEFF_NORMED,empty,grass,63.49264907836914
TM_CCOEFF_NORMED,empty,grass,63.219810485839844
TM_CCOEFF_NORMED,empty,grass,49.510589599609375
TM_CCOEFF_NORMED,empty,grass,52.36564254760742
TM_CCOEFF_NORMED,empty,grass,66.40241241455078
TM_CCOEFF_NORMED,empty,grass,63.2084846496582
TM_CCOEFF_NORMED,empty,grass,46.60555648803711
TM_CCOEFF_NORMED,empty,grass,63.5606575012207
TM_CCOEFF_NORMED,empty,grass,63.4974479675293
TM_CCOEFF_NORMED,empty,grass,65.27027130126953
TM_CCOEFF_NORMED,empty,grass,62.890953063964844
TM_CCOEFF_NORMED,empty,grass,63.57516098022461
TM_CCOEFF_NORMED,empty,grass,60.711395263671875
TM_CCOEFF_NORMED,empty,grass,62.32756423950195
TM_CCOEFF_NORMED,empty,grass,58.20839309692383
TM_CCOEFF_NORMED,empty,grass,61.35517501831055
TM_CCOEFF_NORMED,empty,grass,61.68928909301758
TM_CCOEFF_NORMED,empty,grass,63.70839309692383
TM_CCOEFF_NORMED,empty,grass,63.994712829589844
TM_CCOEFF_NORMED,empty,grass,64.2674789428711
TM_CCOEFF_NORMED,empty,grass,41.69038391113281
TM_CCOEFF_NORMED,empty,grass,62.89384841918945
TM_CCOEFF_NORMED,empty,grass,63.219810485839844
TM_CCOEFF_NORMED,empty,grass,52.36564254760742
TM_CCOEFF_NORMED,empty,grass,53.33423614501953
TM_CCOEFF_NORMED,empty,grass,61.68928909301758
TM_CCOEFF_NORMED,empty,grass,62.303184509277344
TM_CCOEFF_NORMED,empty,grass,62.162506103515625
TM_CCOEFF_NORMED,empty,grass,63.49264907836914
TM_CCOEFF_NORMED,empty,grass,55.41751480102539
TM_CCOEFF_NORMED,empty,grass,61.35517501831055
TM_CCOEFF_NORMED,empty,grass,61.35517501831055
TM_CCOEFF_NORMED,empty,grass,58.20839309692383
TM_CCOEFF_NORMED,empty,grass,63.57516098022461
TM_CCOEFF_NORMED,empty,grass,58.25677490234375
TM_CCOEFF_NORMED,empty,grass,63.57516098022461
TM_CCOEFF_NORMED,empty,grass,53.58915328979492
TM_CCOEFF_NORMED,empty,grass,66.40241241455078
TM_CCOEFF_NORMED,empty,grass,63.49264907836914
TM_CCOEFF_NORMED,empty,grass,62.8321418762207
TM_CCOEFF_NORMED,empty,grass,62.303184509277344
TM_CCOEFF_NORMED,empty,grass,54.36741638183594
TM_CCOEFF_NORMED,empty,grass,54.36741638183594
TM_CCOEFF_NORMED,empty,grass,54.75484848022461
TM_CCOEFF_NORMED,empty,bush,68.41949462890625
TM_CCOEFF_NORMED,empty,bush,68.41949462890625
TM_CCOEFF_NORMED,empty,bush,68.5073471069336
TM_CCOEFF_NORMED,empty,bush,70.42745208740234
TM_CCOEFF_NORMED,empty,bush,49.655879974365234
TM_CCOEFF_NORMED,empty,bush,68.26249694824219
TM_CCOEFF_NORMED,empty,bush,62.27008819580078
TM_CCOEFF_NORMED,empty,bush,67.07996368408203
TM_CCOEFF_NORMED,empty,bush,67.63892364501953
TM_CCOEFF_NORMED,empty,bush,65.43585968017578
TM_CCOEFF_NORMED,empty,bush,68.26249694824219
TM_CCOEFF_NORMED,empty,bush,67.43888092041016
TM_CCOEFF_NORMED,empty,bush,68.53489685058594
TM_CCOEFF_NORMED,empty,bush,70.42745208740234
TM_CCOEFF_NORMED,empty,bush,51.739173889160156
TM_CCOEFF_NORMED,empty,bush,51.71661376953125
TM_CCOEFF_NORMED,empty,bush,58.14815139770508
TM_CCOEFF_NORMED,empty,bush,56.11119842529297
TM_CCOEFF_NORMED,empty,bush,67.63892364501953
TM_CCOEFF_NORMED,empty,bush,60.936439514160156
TM_CCOEFF_NORMED,empty,bush,68.41949462890625
TM_CCOEFF_NORMED,empty,bush,51.739173889160156
TM_CCOEFF_NORMED,empty,bush,68.5073471069336
TM_CCOEFF_NORMED,empty,bush,51.71661376953125
TM_CCOEFF_NORMED,empty,bush,70.42745208740234
TM_CCOEFF_NORMED,empty,bush,58.14815139770508
TM_CCOEFF_NORMED,empty,bush,70.49480438232422
TM_CCOEFF_NORMED,empty,bush,68.24373626708984
TM_CCOEFF_NORMED,empty,bush,56.11119842529297
TM_CCOEFF_NORMED,empty,bush,62.27008819580078
TM_CCOEFF_NORMED,empty,bush,67.57817077636719
TM_CCOEFF_NORMED,empty,bush,67.15327453613281
TM_CCOEFF_NORMED,empty,bush,62.06797409057617
TM_CCOEFF_NORMED,empty,bush,68.26249694824219
TM_CCOEFF_NORMED,empty,bush,65.43585968017578
TM_CCOEFF_NORMED,empty,tree,52.99298095703125
TM_CCOEFF_NORMED,empty,tree,54.163177490234375
TM_CCOEFF_NORMED,empty,tree,41.088993072509766
TM_CCOEFF_NORMED,empty,tree,52.49949645996094
TM_CCOEFF_NORMED,empty,tree,48.37899398803711
TM_CCOEFF_NORMED,empty,tree,50.49594497680664
TM_CCOEFF_NORMED,empty,tree,54.163177490234375
TM_CCOEFF_NORMED,empty,tree,54.367530822753906
TM_CCOEFF_NORMED,empty,tree,54.19084548950195
TM_CCOEFF_NORMED,empty,tree,37.497108459472656
TM_CCOEFF_NORMED,empty,tree,53.30256652832031
TM_CCOEFF_NORMED,empty,tree,43.255035400390625
TM_CCOEFF_NORMED,empty,tree,52.45799255371094
TM_CCOEFF_NORMED,empty,tree,51.934600830078125
TM_CCOEFF_NORMED,empty,tree,51.82860565185547
TM_CCOEFF_NORMED,empty,tree,37.8132438659668
TM_CCOEFF_NORMED,empty,tree,50.806373596191406
TM_CCOEFF_NORMED,empty,tree,52.32494354248047
TM_CCOEFF_NORMED,empty,tree,52.32494354248047
TM_CCOEFF_NORMED,empty,tree,41.025047302246094
TM_CCOEFF_NORMED,empty,tree,56.856571197509766
TM_CCOEFF_NORMED,empty,tree,39.72993469238281
TM_CCOEFF_NORMED,empty,tree,55.348228454589844
TM_CCOEFF_NORMED,empty,tree,52.45799255371094
